,momentum,momentum_z
NVDA,1.7124928099396381,4.066537528545697
WMT,0.7399231909829449,1.381600212716679
AXP,0.6032013817371307,1.0041573228950411
GS,0.5203134489274341,0.7753316434836094
MMM,0.46124399847934683,0.6122607757099321
AMZN,0.4439252064264869,0.5644494209837907
JPM,0.44288137432578467,0.5615677519453911
IBM,0.39270445058835124,0.4230461568737062
AAPL,0.30705237447082157,0.18658960829996032
TRV,0.28758422573888964,0.13284460333409892
CRM,0.27763677725664215,0.10538304674555996
CAT,0.24658645486388964,0.019663559280740404
DIS,0.24442783509153942,0.013704336758771515
V,0.22318291653079814,-0.04494573157944454
CSCO,0.209956086503146,-0.08146055665640625
PG,0.17253808270543392,-0.18475906888844693
HD,0.14995719712841882,-0.24709729242377698
VZ,0.13142637883700536,-0.29825464358269527
MSFT,0.1292733843298577,-0.3041983366411077
HON,0.10015624327055228,-0.3845809612230374
SHW,0.0990016130505158,-0.3877685065702645
KO,0.0887753041840138,-0.4159999028052388
CVX,0.012871324303260323,-0.6255452392310158
MCD,0.001366266135537586,-0.657306831813395
UNH,-0.02410378938037816,-0.7276210809509306
JNJ,-0.04811465861261921,-0.7939070079741203
MRK,-0.06260069727720097,-0.8338980842024735
AMGN,-0.06771929656046827,-0.8480288137179222
NKE,-0.29107470987619055,-1.4646379203720132
BA,-0.3209545096552553,-1.547125988940689
