,formation_date,holding_until,holdings
0,2019-01-31,2019-02-28,"['CRM', 'MRK', 'NKE', 'AMZN', 'BA']"
1,2019-02-28,2019-03-31,"['MRK', 'CRM', 'NKE', 'PG', 'VZ']"
2,2019-03-31,2019-04-30,"['MRK', 'CRM', 'PG', 'V', 'MSFT']"
3,2019-04-30,2019-05-31,"['PG', 'DIS', 'MSFT', 'CRM', 'MRK']"
4,2019-05-31,2019-06-30,"['PG', 'MRK', 'DIS', 'MSFT', 'MCD']"
5,2019-06-30,2019-07-31,"['PG', 'MRK', 'MSFT', 'DIS', 'MCD']"
6,2019-07-31,2019-08-31,"['PG', 'MCD', 'CSCO', 'MRK', 'MSFT']"
7,2019-08-31,2019-09-30,"['PG', 'MCD', 'MRK', 'KO', 'MSFT']"
8,2019-09-30,2019-10-31,"['PG', 'MCD', 'WMT', 'MSFT', 'MRK']"
9,2019-10-31,2019-11-30,"['SHW', 'PG', 'MSFT', 'HD', 'V']"
10,2019-11-30,2019-12-31,"['AAPL', 'SHW', 'MSFT', 'NVDA', 'PG']"
11,2019-12-31,2020-01-31,"['AAPL', 'NVDA', 'MSFT', 'SHW', 'JPM']"
12,2020-01-31,2020-02-29,"['AAPL', 'MSFT', 'NVDA', 'V', 'SHW']"
13,2020-02-29,2020-03-31,"['NVDA', 'AAPL', 'MSFT', 'V', 'KO']"
14,2020-03-31,2020-04-30,"['NVDA', 'AAPL', 'MSFT', 'WMT', 'PG']"
15,2020-04-30,2020-05-31,"['NVDA', 'MSFT', 'AAPL', 'AMGN', 'AMZN']"
16,2020-05-31,2020-06-30,"['NVDA', 'AAPL', 'MSFT', 'SHW', 'AMGN']"
17,2020-06-30,2020-07-31,"['NVDA', 'AAPL', 'MSFT', 'AMZN', 'AMGN']"
18,2020-07-31,2020-08-31,"['NVDA', 'AAPL', 'AMZN', 'MSFT', 'AMGN']"
19,2020-08-31,2020-09-30,"['NVDA', 'AAPL', 'AMZN', 'CRM', 'MSFT']"
20,2020-09-30,2020-10-31,"['NVDA', 'AAPL', 'AMZN', 'CRM', 'MSFT']"
21,2020-10-31,2020-11-30,"['NVDA', 'AAPL', 'AMZN', 'CRM', 'MSFT']"
22,2020-11-30,2020-12-31,"['NVDA', 'AAPL', 'AMZN', 'CRM', 'NKE']"
23,2020-12-31,2021-01-31,"['NVDA', 'AAPL', 'AMZN', 'MSFT', 'NKE']"
24,2021-01-31,2021-02-28,"['NVDA', 'AMZN', 'AAPL', 'CAT', 'NKE']"
25,2021-02-28,2021-03-31,"['NVDA', 'CAT', 'AAPL', 'AMZN', 'DIS']"
26,2021-03-31,2021-04-30,"['GS', 'CAT', 'NVDA', 'AAPL', 'DIS']"
27,2021-04-30,2021-05-31,"['NVDA', 'CAT', 'GS', 'AAPL', 'DIS']"
28,2021-05-31,2021-06-30,"['CAT', 'GS', 'NVDA', 'JPM', 'AXP']"
29,2021-06-30,2021-07-31,"['NVDA', 'GS', 'AXP', 'CAT', 'JPM']"
30,2021-07-31,2021-08-31,"['GS', 'NVDA', 'AXP', 'NKE', 'JPM']"
31,2021-08-31,2021-09-30,"['GS', 'NVDA', 'AXP', 'JPM', 'CAT']"
32,2021-09-30,2021-10-31,"['GS', 'JPM', 'AXP', 'NVDA', 'CVX']"
33,2021-10-31,2021-11-30,"['GS', 'NVDA', 'AXP', 'JPM', 'CVX']"
34,2021-11-30,2021-12-31,"['NVDA', 'GS', 'MSFT', 'HD', 'AAPL']"
35,2021-12-31,2022-01-31,"['NVDA', 'HD', 'MSFT', 'GS', 'CVX']"
36,2022-01-31,2022-02-28,"['NVDA', 'CVX', 'AXP', 'UNH', 'HD']"
37,2022-02-28,2022-03-31,"['NVDA', 'CVX', 'UNH', 'AXP', 'AAPL']"
38,2022-03-31,2022-04-30,"['NVDA', 'CVX', 'AAPL', 'UNH', 'AXP']"
39,2022-04-30,2022-05-31,"['CVX', 'MRK', 'UNH', 'NVDA', 'KO']"
40,2022-05-31,2022-06-30,"['CVX', 'MRK', 'UNH', 'AAPL', 'KO']"
41,2022-06-30,2022-07-31,"['CVX', 'UNH', 'MRK', 'KO', 'TRV']"
42,2022-07-31,2022-08-31,"['CVX', 'UNH', 'MRK', 'KO', 'AAPL']"
43,2022-08-31,2022-09-30,"['CVX', 'UNH', 'MRK', 'KO', 'AMGN']"
44,2022-09-30,2022-10-31,"['CVX', 'UNH', 'MRK', 'KO', 'AMGN']"
45,2022-10-31,2022-11-30,"['CVX', 'AMGN', 'UNH', 'IBM', 'MRK']"
46,2022-11-30,2022-12-31,"['CVX', 'MRK', 'AMGN', 'IBM', 'TRV']"
47,2022-12-31,2023-01-31,"['CVX', 'MRK', 'TRV', 'AMGN', 'CAT']"
48,2023-01-31,2023-02-28,"['CVX', 'MRK', 'CAT', 'TRV', 'AMGN']"
49,2023-02-28,2023-03-31,"['MRK', 'CAT', 'CVX', 'IBM', 'TRV']"
50,2023-03-31,2023-04-30,"['MRK', 'MCD', 'BA', 'CAT', 'IBM']"
51,2023-04-30,2023-05-31,"['NVDA', 'MRK', 'BA', 'MCD', 'JPM']"
52,2023-05-31,2023-06-30,"['NVDA', 'BA', 'CRM', 'MRK', 'MSFT']"
53,2023-06-30,2023-07-31,"['NVDA', 'BA', 'AAPL', 'CAT', 'MSFT']"
54,2023-07-31,2023-08-31,"['NVDA', 'BA', 'CAT', 'JPM', 'AAPL']"
55,2023-08-31,2023-09-30,"['NVDA', 'CAT', 'CRM', 'BA', 'JPM']"
56,2023-09-30,2023-10-31,"['NVDA', 'CAT', 'BA', 'JPM', 'CRM']"
57,2023-10-31,2023-11-30,"['NVDA', 'MSFT', 'BA', 'AMZN', 'CRM']"
58,2023-11-30,2023-12-31,"['NVDA', 'CRM', 'MSFT', 'AMZN', 'AAPL']"
59,2023-12-31,2024-01-31,"['NVDA', 'CRM', 'AMZN', 'MSFT', 'AAPL']"
60,2024-01-31,2024-02-29,"['NVDA', 'CRM', 'MSFT', 'AMZN', 'IBM']"
61,2024-02-29,2024-03-31,"['NVDA', 'CRM', 'AMZN', 'MSFT', 'SHW']"
62,2024-03-31,2024-04-30,"['NVDA', 'AMZN', 'CAT', 'SHW', 'JPM']"
63,2024-04-30,2024-05-31,"['NVDA', 'AMZN', 'CAT', 'AXP', 'JPM']"
64,2024-05-31,2024-06-30,"['NVDA', 'CAT', 'AXP', 'JPM', 'AMZN']"
65,2024-06-30,2024-07-31,"['NVDA', 'JPM', 'AMZN', 'GS', 'AMGN']"
66,2024-07-31,2024-08-31,"['NVDA', 'AXP', 'GS', 'AMGN', 'MMM']"
67,2024-08-31,2024-09-30,"['NVDA', 'AXP', 'MMM', 'GS', 'JPM']"
68,2024-09-30,2024-10-31,"['NVDA', 'MMM', 'AXP', 'IBM', 'GS']"
69,2024-10-31,2024-11-30,"['NVDA', 'AXP', 'MMM', 'GS', 'CAT']"
70,2024-11-30,2024-12-31,"['NVDA', 'AXP', 'GS', 'WMT', 'MMM']"
