,volatility,volatility_z
KO,0.1279381230984476,-1.4343481892774164
PG,0.14988183376523093,-1.1525617327922446
JNJ,0.1512140514754464,-1.1354542839414603
V,0.168842136432081,-0.9090862065465632
WMT,0.17686946482614813,-0.8060046239666852
MCD,0.17819185204368074,-0.7890234117283257
HON,0.17982139585242068,-0.7680978999712255
CSCO,0.18020618248980813,-0.7631567273182164
CVX,0.19226278321910634,-0.6083339241763495
MSFT,0.19961527526648992,-0.5139181386317557
HD,0.20491806221780798,-0.44582329509330143
MRK,0.21165446882410893,-0.3593188667467211
VZ,0.21201938509418386,-0.3546328560614885
SHW,0.21405781455400164,-0.3284567082349261
AAPL,0.2268046597929804,-0.16477024673350701
IBM,0.23397414975462283,-0.0727044515826736
TRV,0.23475728753615444,-0.0626479199527932
JPM,0.23493525442728533,-0.06036258816069262
AXP,0.24109257534227552,0.018705609029106455
GS,0.2575733788120692,0.230341064868921
AMGN,0.25760428231248095,0.23073790695302637
DIS,0.2582389261967007,0.23888757926596715
CAT,0.2603291436107389,0.26572875336497664
UNH,0.2730074798238311,0.4285354677746224
AMZN,0.28091446747497845,0.5300717150175063
NKE,0.3199281556602113,1.0310594064372318
MMM,0.33548152781864743,1.230785409640285
BA,0.3425643514464682,1.3217382936944033
CRM,0.35934572024556355,1.5372334084757853
NVDA,0.5250329075284242,3.664877456394518
